"all_riders" "rider_class" "stage" "points" "stage_class"
"Romain Grégoire" "Unclassed" "X6" 2 "hills"
"Romain Grégoire" "Unclassed" "X7" 37 "hills"
"Romain Grégoire" "Unclassed" "X8" 2 "flat"
"Romain Grégoire" "Unclassed" "X9" 2 "flat"
"Romain Grégoire" "Unclassed" "X10" 2 "hills"
"Romain Grégoire" "Unclassed" "X11" 34 "hills"
"Romain Grégoire" "Unclassed" "X12" 0 "mount"
"Romain Grégoire" "Unclassed" "X14" 0 "mount"
"Romain Grégoire" "Unclassed" "X15" 0 "hills"
"Romain Grégoire" "Unclassed" "X16" 0 "mount"
"Romain Grégoire" "Unclassed" "X17" 0 "flat"
"Romain Grégoire" "Unclassed" "X18" 0 "mount"
"Romain Grégoire" "Unclassed" "X19" 0 "mount"
"Romain Grégoire" "Unclassed" "X20" 148 "hills"
"Romain Grégoire" "Unclassed" "X21" 0 "flat"
"Thymen Arensman" "All Rounder" "X1" 0 "flat"
"Thymen Arensman" "All Rounder" "X2" 0 "hills"
"Thymen Arensman" "All Rounder" "X3" 0 "flat"
"Thymen Arensman" "All Rounder" "X4" 0 "hills"
"Thymen Arensman" "All Rounder" "X6" 0 "hills"
"Thymen Arensman" "All Rounder" "X7" 0 "hills"
"Thymen Arensman" "All Rounder" "X8" 0 "flat"
"Thymen Arensman" "All Rounder" "X9" 0 "flat"
"Thymen Arensman" "All Rounder" "X10" 204 "hills"
"Thymen Arensman" "All Rounder" "X11" 2 "hills"
"Thymen Arensman" "All Rounder" "X12" 0 "mount"
"Thymen Arensman" "All Rounder" "X14" 292 "mount"
"Thymen Arensman" "All Rounder" "X15" 11 "hills"
"Thymen Arensman" "All Rounder" "X16" 61 "mount"
"Thymen Arensman" "All Rounder" "X17" 13 "flat"
"Thymen Arensman" "All Rounder" "X18" 67 "mount"
"Thymen Arensman" "All Rounder" "X19" 263 "mount"
"Thymen Arensman" "All Rounder" "X20" 13 "hills"
"Thymen Arensman" "All Rounder" "X21" 13 "flat"
"Filippo Ganna" "Unclassed" "X1" 0 "flat"
"Filippo Ganna" "Unclassed" "X2" 0 "hills"
"Filippo Ganna" "Unclassed" "X3" 0 "flat"
"Filippo Ganna" "Unclassed" "X4" 0 "hills"
"Filippo Ganna" "Unclassed" "X6" 0 "hills"
"Filippo Ganna" "Unclassed" "X7" 0 "hills"
"Filippo Ganna" "Unclassed" "X8" 0 "flat"
"Filippo Ganna" "Unclassed" "X9" 0 "flat"
"Filippo Ganna" "Unclassed" "X10" 0 "hills"
"Filippo Ganna" "Unclassed" "X11" 0 "hills"
"Filippo Ganna" "Unclassed" "X12" 0 "mount"
"Filippo Ganna" "Unclassed" "X14" 0 "mount"
"Filippo Ganna" "Unclassed" "X15" 0 "hills"
"Filippo Ganna" "Unclassed" "X16" 0 "mount"
"Filippo Ganna" "Unclassed" "X17" 0 "flat"
"Filippo Ganna" "Unclassed" "X18" 0 "mount"
"Filippo Ganna" "Unclassed" "X19" 0 "mount"
"Filippo Ganna" "Unclassed" "X20" 0 "hills"
"Filippo Ganna" "Unclassed" "X21" 0 "flat"
"Geraint Thomas" "All Rounder" "X1" 0 "flat"
"Geraint Thomas" "All Rounder" "X2" 0 "hills"
"Geraint Thomas" "All Rounder" "X3" 0 "flat"
"Geraint Thomas" "All Rounder" "X4" 0 "hills"
"Geraint Thomas" "All Rounder" "X6" 0 "hills"
"Geraint Thomas" "All Rounder" "X7" 28 "hills"
"Geraint Thomas" "All Rounder" "X8" 0 "flat"
"Geraint Thomas" "All Rounder" "X9" 0 "flat"
